[ip-api.com] HTTP 407
[*] Starting Industry-Standard Checker (MULTI-PROVIDER READY)...
[*] Concurrency: 50 threads | Timeout: 12s
[*] Batch complete in 11.20s

SESSION      | IP              | GEO (MMDB)           | ISP                       | MOB   | H     | P     | RISK
  GY2iCYUF   | 154.113.210.110 | Abuja                | Mainone Cable Company     | False | False | False | CLEAN
  rmptqobj   | 197.157.218.198 | Lagos                | KKON Technologies Ltd     | False | False | False | CLEAN
  QMs5JWnv   | 41.73.12.158    | Abuja (Wuse)         | Suburban-Fiberco          | False | False | False | CLEAN
  sQu5PZZr   | 197.157.218.198 | Lagos                | KKON Technologies Ltd     | False | False | False | CLEAN
  B7JeB1YX   | 197.157.218.198 | Lagos                | KKON Technologies Ltd     | False | False | False | CLEAN
  tSkSWIEF   | 102.91.77.121   | Abuja                | MTN NIGERIA Communication | True  | True  | False | RISK
  yQ8bz70z   | 102.91.77.121   | Abuja                | MTN NIGERIA Communication | True  | True  | False | RISK
  JTz3QlD2   | 197.157.218.198 | Lagos                | KKON Technologies Ltd     | False | False | False | CLEAN
  O0IBHkOF   | 41.76.65.2      | Abuja                | VOIX2                     | False | False | False | CLEAN
  S6UUGPNY   | 154.113.210.110 | Abuja                | Mainone Cable Company     | False | False | False | CLEAN
  6huljvrG   | 41.73.12.158    | Abuja (Wuse)         | Suburban-Fiberco          | False | False | False | CLEAN
  doogHWMx   | 41.73.12.158    | Abuja (Wuse)         | Suburban-Fiberco          | False | False | False | CLEAN
  EZrdNGqf   | 102.91.77.121   | Abuja                | MTN NIGERIA Communication | True  | True  | False | RISK
  XJmaxiNJ   | 41.73.12.158    | Abuja (Wuse)         | Suburban-Fiberco          | False | False | False | CLEAN
  vyinFc9C   | 102.91.77.121   | Abuja                | MTN NIGERIA Communication | True  | True  | False | RISK

[!] No Profiles matched the clean-cellular Abuja requirement in this batch.
